	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_1	0.0079200623	0.005304628	0.0028659711	-0.0112490163	0.0110413175	-0.0012697162	-0.0174284004	0.0097755235	0.0040819473	9.35276e-05
130515_C2_stim_CD19-_2	0.0079200623	0.0075109891	0.0027653623	-0.0003685358	0.0018997222	0.0026178521	0.0080262306	-0.0011931977	-0.0003786123	-6.7622e-06
130515_C2_stim_CD19-_3	0.0079200623	0.005737541	0.0026872153	-0.0083381759	0.0084518549	-0.0003379471	-0.0109904999	0.0067867952	0.0028505743	0.000100148
130515_C2_stim_CD19-_4	0.0079200623	0.0055840259	-0.0028597438	0.0118282568	-0.0126236942	-0.0040306135	-0.0087065722	0.0034624574	0.0016126348	0.0001562666
130515_C2_stim_CD19-_5	0.0079200623	0.0075879801	0.0028218312	-0.0004592434	0.0020116629	0.0026877919	0.0082816133	-0.0011706647	-0.0003600611	-1.19647e-05
130515_C2_stim_CD19-_6	0.0079200623	0.0076276464	0.0028616235	-0.0004843199	0.0020859614	0.0027564807	0.0084227353	-0.0011325608	-0.0003360817	-3.8929e-06
130515_C2_stim_CD19-_7	0.0079200623	0.0022385828	-0.003967101	0.0071258715	-0.0074177511	-0.0046180866	-0.0057123101	-0.0018298252	-0.0012228217	-0.0002129427
130515_C2_stim_CD19-_8	0.0079200623	-0.0107280196	0.0012047617	0.0028877536	0.0047572238	-0.0098126773	0.0045928183	0.0014474325	0.0006730928	-0.000302525
130515_C2_stim_CD19-_9	0.0079200623	-0.013193825	0.0098900614	0.0045479769	0.0006182822	0.0040198595	0.0006511459	0.0027534396	0.0010928554	-0.0012054711
130515_C2_stim_CD19-_10	0.0079200623	-0.0026219862	-0.001897872	-0.0076350729	0.0019236122	-0.0035515244	-0.0157985668	-0.0414228731	-0.0195266393	-0.0049986493
130515_C2_stim_CD19-_11	0.0079200623	0.0075024217	0.0027530545	-0.0006961384	0.0021534192	0.0025140437	0.0071663837	-0.0005850688	-0.0001059108	1.46892e-05
130515_C2_stim_CD19-_12	0.0079200623	-0.0116049613	0.0026663792	0.0037527057	0.0049271864	-0.0091630823	0.0056070566	0.0034006083	0.0015793769	0.0001184012
130515_C2_stim_CD19-_13	0.0079200623	0.0075206412	0.0027132664	-0.0003069081	0.0018285807	0.0025750411	0.0080167043	-0.0012486365	-0.0004065783	-2.64802e-05
130515_C2_stim_CD19-_14	0.0079200623	0.0073951404	0.0020951198	0.0013503883	-4.59809e-05	0.0018252812	0.0062161109	-0.0005140817	-6.59902e-05	2.79598e-05
130515_C2_stim_CD19-_15	0.0079200623	0.0075438284	0.0026903207	-0.0001966936	0.0017104323	0.0025288383	0.0078897706	-0.0011510576	-0.0003598685	7.586e-07
130515_C2_stim_CD19-_16	0.0079200623	0.0075870429	0.0025132118	0.0005450944	0.0009513786	0.0023853567	0.0076518187	-0.0007597008	-0.0001546797	2.57304e-05
130515_C2_stim_CD19-_17	0.0079200623	0.0075640261	0.0027620175	-0.0004042356	0.001927465	0.0025996608	0.0078718699	-0.0009795891	-0.0002753914	1.20014e-05
130515_C2_stim_CD19-_18	0.0079200623	0.0050637027	0.0026976472	-0.0110655132	0.01074327	-0.0014420022	-0.0172214957	0.0094382396	0.0039069824	0.0001298498
130515_C2_stim_CD19-_19	0.0079200623	0.0056956179	-0.0026321137	0.0113977795	-0.0120958541	-0.0037135631	-0.0079116579	0.0033559034	0.0015790941	0.0001690331
130515_C2_stim_CD19-_20	0.0079200623	-0.0104239873	-0.0092527229	-0.0003798028	0.0056496055	-0.0071982734	0.0114676685	0.0095184496	0.0046059373	0.0022420751
130515_C2_stim_CD19-_21	0.0079200623	0.0041723661	-0.0038399978	0.0109053611	-0.0118583212	-0.0045839387	-0.0093083048	0.0023202526	0.0009430142	4.95705e-05
130515_C2_stim_CD19-_22	0.0079200623	-0.0074556496	-0.0088440337	-0.0048621278	-0.0028449464	0.0076162611	-0.0009350361	-0.0016241737	-0.0008104473	0.0020212972
130515_C2_stim_CD19-_23	0.0079200623	-0.0082752598	-0.002077307	0.0011100882	0.0046877669	-0.0109390075	0.0015695784	-0.0012436498	-0.0012443279	0.0001161215
130515_C2_stim_CD19-_24	0.0079200623	-0.0025379511	-0.0051118051	-0.0025202379	0.0021590448	-0.0054486352	-0.0086759356	-0.0041868631	-0.0029957458	-0.0005265912
130515_C2_stim_CD19-_25	0.0079200623	-0.0110458637	0.0007454031	0.0035419049	0.0058448177	-0.0124259051	0.0064400084	0.0032282103	0.0014495716	0.0004273851
130515_C2_stim_CD19-_26	0.0079200623	-0.0060641377	-0.01971666	-0.0055076807	-0.0027498682	0.0126066314	0.0005510397	0.0020926262	0.0010939922	-0.0001049046
130515_C2_stim_CD19-_27	0.0079200623	0.007694416	0.0030024626	-0.0008447612	0.0024710872	0.0028965265	0.0086055304	-0.0010296114	-0.0002833627	6.6354e-06
130515_C2_stim_CD19-_28	0.0079200623	0.0073439796	0.0024511361	0.0001803735	0.0012137051	0.0021661243	0.006875669	-0.0008128247	-0.0002193318	1.12893e-05
130515_C2_stim_CD19-_29	0.0079200623	0.007144271	0.0026032806	-0.0009380293	0.0018494019	0.0020589394	0.0061264008	-0.0017033516	-0.0006967843	0.000280699
130515_C2_stim_CD19-_30	0.0079200623	-0.0067794464	-0.0213610804	-0.0063442104	-0.0027598421	0.0150931727	0.0023637904	0.0031911457	0.001824172	1.42677e-05
130515_C2_stim_CD19-_31	0.0079200623	0.0072533916	0.0025994105	-0.0008658747	0.0021640488	0.0022277561	0.0065497937	-0.0013491412	-0.0005162522	-1.76759e-05
130515_C2_stim_CD19-_32	0.0079200623	-0.0061523576	-0.0215874305	-0.0065117795	-0.0032955958	0.0158108236	0.0013534361	0.0024551747	0.0014601298	-0.0001143015
130515_C2_stim_CD19-_33	0.0079200623	0.0073547343	0.0020640227	0.0012734089	2.3758e-06	0.0017460283	0.0057895721	-0.0003079183	2.12521e-05	2.40657e-05
130515_C2_stim_CD19-_34	0.0079200623	0.0065567414	0.0019547877	-0.0009188962	0.0016914434	0.0011904505	0.0037068603	-0.0023855377	-0.0011495618	-5.44422e-05
130515_C2_stim_CD19-_35	0.0079200623	-0.0099395535	0.013956938	-0.0328868451	-0.0333269309	-0.0106662676	0.0051840931	-0.0049351457	-0.0044086922	0.0688273243
130515_C2_stim_CD19-_36	0.0079200623	0.0054475296	-0.0030615496	0.0121386159	-0.0129708994	-0.004247476	-0.0090996408	0.003554676	0.0016421638	0.0001595073
130515_C2_stim_CD19-_37	0.0079200623	0.0075689734	0.0028438002	-0.0006776374	0.0022319067	0.0026620975	0.0079529834	-0.0010215381	-0.0003000918	-1.2714e-05
130515_C2_stim_CD19-_38	0.0079200623	-0.0066554346	-0.0200090006	-0.0065161253	-0.0018945655	0.0136596446	0.0023461673	0.0017471175	0.0011321104	8.6754e-06
