	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_1	-0.0079200623	-0.005304628	0.0028659711	0.0112490167	0.011041313	0.001269715	-0.0174283685	-0.009775373	0.0040811487	8.7043e-05
130515_C2_stim_CD19-_2	-0.0079200623	-0.0075109891	0.0027653623	0.000368535	0.0018997327	-0.0026178499	0.0080261909	0.0011950549	-0.0003793962	-4.6286e-06
130515_C2_stim_CD19-_3	-0.0079200623	-0.005737541	0.0026872153	0.008338176	0.0084518538	0.0003379466	-0.0109904819	-0.0067862423	0.0028497563	9.63505e-05
130515_C2_stim_CD19-_4	-0.0079200623	-0.0055840259	-0.0028597438	-0.0118282571	-0.0126236905	0.0040306148	-0.0087065916	-0.0034608148	0.0016118256	0.000145558
130515_C2_stim_CD19-_5	-0.0079200623	-0.0075879801	0.0028218312	0.0004592424	0.0020116737	-0.0026877903	0.0082815909	0.0011730308	-0.0003614595	-5.2018e-06
130515_C2_stim_CD19-_6	-0.0079200623	-0.0076276464	0.0028616235	0.000484319	0.0020859733	-0.0027564785	0.0084226979	0.0011351398	-0.000337399	4.339e-07
130515_C2_stim_CD19-_7	-0.0079200623	-0.0022385828	-0.003967101	-0.0071258807	-0.0074176282	0.0046181157	-0.0057127744	0.0018426509	-0.0012256564	-0.0002356339
130515_C2_stim_CD19-_8	-0.0079200623	0.0107280196	0.0012047617	-0.0028877586	0.0047572891	0.0098126921	0.0045925847	-0.0014372676	0.0006690548	-0.0003159968
130515_C2_stim_CD19-_9	-0.0079200623	0.013193825	0.0098900614	-0.0045479725	0.0006182219	-0.0040198754	0.0006514324	-0.0027655334	0.0010966539	-0.001166677
130515_C2_stim_CD19-_10	-0.0079200623	0.0026219862	-0.001897872	0.0076350743	0.0019236025	0.0035515264	-0.0157986419	0.0414091926	-0.0195139274	-0.0049899046
130515_C2_stim_CD19-_11	-0.0079200623	-0.0075024217	0.0027530545	0.0006961364	0.002153444	-0.0025140386	0.0071663043	0.0005894913	-0.000107965	1.66036e-05
130515_C2_stim_CD19-_12	-0.0079200623	0.0116049613	0.0026663792	-0.0037527062	0.0049271916	0.0091630831	0.0056070523	-0.0033990332	0.0015781365	0.0001153281
130515_C2_stim_CD19-_13	-0.0079200623	-0.0075206412	0.0027132664	0.0003069069	0.0018285954	-0.0025750384	0.0080166631	0.0012511619	-0.0004078306	-2.20587e-05
130515_C2_stim_CD19-_14	-0.0079200623	-0.0073951404	0.0020951198	-0.0013503894	-4.59675e-05	-0.0018252783	0.0062160616	0.0005167296	-6.71787e-05	2.84527e-05
130515_C2_stim_CD19-_15	-0.0079200623	-0.0075438284	0.0026903207	0.0001966905	0.0017104711	-0.0025288303	0.0078896487	0.0011568363	-0.0003623298	1.7569e-06
130515_C2_stim_CD19-_16	-0.0079200623	-0.0075870429	0.0025132118	-0.0005450955	0.0009513917	-0.0023853543	0.0076517793	0.000762805	-0.0001563279	2.98022e-05
