	0	1	2	3	4	5	6	7	8	9
130515_C2_stim_CD19-_1672	0.01	0.0071465712	0.0041982662	0.0013132971	0.0232277746	0.0054238361	-0.0119785135	-0.0019749163	0.0039270316	0.0025901895
130515_C2_stim_CD19-_6365	0.01	-0.0136212137	-0.0014691786	-0.0054594026	-0.0021725896	0.0137784737	0.0060035844	0.0006568442	0.0030421822	0.0025509103
130515_C2_stim_CD19-_6206	0.01	0.0076779012	-0.0033234605	-0.0005220139	-0.0119009842	-0.0013886737	-0.0075224914	-0.0018882798	0.0039405889	0.0020202098
130515_C2_stim_CD19-_6529	0.01	0.0098359325	-0.0035466164	-0.0012147577	-0.0026237289	-0.0026664384	0.011243993	0.0015183816	-0.0010384651	-0.0005766633
130515_C2_stim_CD19-_14667	0.01	0.009212544	-0.0019150182	-0.0007075452	0.0025792073	-0.0009253758	0.0061622356	0.0007550149	-1.07168e-05	7.34972e-05
130515_C2_stim_CD19-_6709	0.01	0.0082259646	-0.0034586893	-0.000751474	-0.0103121771	-0.0019169603	-0.0031494319	-0.0014404435	0.0035559644	0.0018738215
130515_C2_stim_CD19-_14078	0.01	0.0096763378	-0.003395527	-0.0011519678	-0.002630811	-0.0024943199	0.0102537533	0.0013749354	-0.0009747611	-0.0005377516
130515_C2_stim_CD19-_13998	0.01	-0.0039562684	0.0111979661	0.0030396656	0.0018676737	0.0015197959	-0.0091642513	0.0004117961	-0.007255473	-0.0061421015
130515_C2_stim_CD19-_7741	0.01	0.0076333059	-0.0029339671	-0.0005983608	-0.0056973461	-0.0009190494	0.001066749	0.0008792076	-0.0040733443	-0.0020027239
130515_C2_stim_CD19-_5064	0.01	-0.0177024429	-0.0221268141	-0.0057096012	0.0098930651	-0.0222205755	-0.0039278239	-0.0067587456	0.0002785389	-0.0011177434
130515_C2_stim_CD19-_6247	0.01	-0.0033670835	0.0042005201	0.0016707929	-0.0077906607	0.0040083104	-0.0140210177	0.002664825	-0.0217011569	-0.0158851339
130515_C2_stim_CD19-_10529	0.01	0.0063693498	-0.003135053	-0.0006977381	-0.0184243571	-0.0003729886	-0.020195985	-0.0055167003	0.0095325876	0.0052046324
130515_C2_stim_CD19-_6514	0.01	0.0093774648	-0.0030262193	-0.0010343377	-0.001936919	-0.0019955415	0.007929524	0.0009189499	-0.0002937971	-0.0001519221
130515_C2_stim_CD19-_15610	0.01	0.0067666799	-0.0036419247	-0.0008135822	-0.0204780665	-0.0006643399	-0.021544945	-0.0060999502	0.0108737451	0.0060109479
130515_C2_stim_CD19-_11243	0.01	-0.0111769525	0.0026225304	-0.0035697666	-0.003464185	0.0148366999	0.0027306618	0.0016414105	0.0002041115	-3.47436e-05
130515_C2_stim_CD19-_12678	0.01	0.0069265439	0.0050013187	0.0015908225	0.0261605596	0.0063676647	-0.0148691813	-0.0024681006	0.0047986565	0.0031345244
130515_C2_stim_CD19-_5288	0.01	-0.0099214085	0.0232979726	0.007439397	-0.0040468362	-0.0163290178	0.0062706356	-0.0011889786	0.0051179978	0.0035695247
130515_C2_stim_CD19-_8496	0.01	-0.0174029254	-0.0210946906	-0.0057821061	0.0093629462	-0.0205086555	-0.003290186	-0.0064769129	0.0011670758	-0.0008234083
130515_C2_stim_CD19-_328	0.01	0.0096005645	-0.0028033359	-0.0009897298	-0.0001391458	-0.0018903383	0.0090293682	0.0011721155	-0.0004734858	-0.0002299547
130515_C2_stim_CD19-_10978	0.01	-0.0178019048	-0.0233941073	-0.0046594968	0.0101433866	-0.0240700284	-0.0051990307	-0.0067027134	-0.0032658727	-0.0009950956
130515_C2_stim_CD19-_783	0.01	0.009743447	-0.0034722445	-0.001149566	-0.0026791694	-0.0025573459	0.0106689049	0.0014663846	-0.0011497715	-0.0005916492
130515_C2_stim_CD19-_13033	0.01	-0.0179864975	-0.0229914162	-0.0061466207	0.0104821276	-0.0238375502	-0.0042323163	-0.0078227911	-7.5659e-06	-0.0010625615
130515_C2_stim_CD19-_10679	0.01	0.0069756088	0.0041236496	0.0012699488	0.0219236563	0.0050781264	-0.0111190353	-0.0017878604	0.0034058768	0.002234585
130515_C2_stim_CD19-_3090	0.01	-0.0009620444	0.0101349374	0.00231253	0.013445892	0.0040755525	-0.0084313786	-0.0008165451	0.0002850726	-0.0002366028
130515_C2_stim_CD19-_14054	0.01	0.001046688	0.007711523	0.0020200968	0.0125496669	0.0043683303	-0.0090531829	-0.0004718281	-0.0005080099	-0.0011282459
130515_C2_stim_CD19-_5986	0.01	-0.0084852304	0.0256610111	0.0093265403	-0.0026442407	-0.0211154457	0.0034007518	-0.0017087111	0.0030991987	0.0017709861
130515_C2_stim_CD19-_1749	0.01	-0.0125395044	0.0026672218	-0.0045343465	-0.0036677462	0.0168453593	0.0065138426	0.0016841149	0.003296069	0.0025543466
130515_C2_stim_CD19-_5256	0.01	0.0096525991	-0.0031556733	-0.0010746792	-0.001536933	-0.0022401612	0.0097100281	0.0012884632	-0.0008294814	-0.000429092
130515_C2_stim_CD19-_9515	0.01	0.0097079093	-0.003356332	-0.0011532106	-0.0022022508	-0.002450915	0.0105166216	0.0014282246	-0.0010123141	-0.000555888
130515_C2_stim_CD19-_12119	0.01	0.0091230389	-0.0011856656	-0.0004783471	0.005685232	-0.0001339983	0.0043358553	0.0004678505	0.0005583322	0.0004509349
130515_C2_stim_CD19-_10076	0.01	0.0094980476	-0.0033676266	-0.0010016475	-0.0022914996	-0.0023066887	0.0102459017	0.0016271624	-0.0013699584	-0.0004772119
130515_C2_stim_CD19-_8605	0.01	0.0066348829	-0.0036049507	-0.0008256784	-0.0212419396	-0.0005567725	-0.0234072953	-0.0065622034	0.0114177647	0.0062614557
130515_C2_stim_CD19-_6963	0.01	0.0092683108	-0.0020367756	-0.0007524401	0.0022046766	-0.0010674271	0.0065488829	0.000793142	-6.0789e-06	6.97874e-05
130515_C2_stim_CD19-_4608	0.01	0.0096341861	-0.003331477	-0.0011537254	-0.0023264469	-0.0023712054	0.0101667424	0.0013691802	-0.0010085676	-0.0005593156
130515_C2_stim_CD19-_2842	0.01	-0.0175467547	-0.019137508	-0.0065925397	0.0082844236	-0.0160389426	-0.0013057552	-0.0066657043	0.0021426602	0.0004197101
130515_C2_stim_CD19-_8944	0.01	0.0093234661	-0.0018003393	-0.0006790207	0.0036895964	-0.0007984899	0.0062439677	0.0007571543	0.0001769181	0.0002067285
130515_C2_stim_CD19-_1514	0.01	0.0097612989	-0.0033878786	-0.0011673047	-0.0021939874	-0.0024984278	0.0110107746	0.0015580231	-0.0013141748	-0.0007467766
130515_C2_stim_CD19-_15465	0.01	0.0089256529	-0.0010084189	-0.0003910014	0.0056631913	6.32135e-05	0.0030842417	0.0002461075	0.0007511663	0.0005598419
130515_C2_stim_CD19-_6794	0.01	0.0097141167	-0.0033923018	-0.001141615	-0.0024214342	-0.0025042864	0.0104233741	0.0014281631	-0.0009744117	-0.0005364066
130515_C2_stim_CD19-_9336	0.01	0.0008219349	0.0005766159	-0.0004760673	-0.0134789635	0.003582902	-0.0148077825	-0.0025759437	0.0025636724	0.0005532629
130515_C2_stim_CD19-_4503	0.01	-0.0054043649	0.0099674427	0.0021329656	-0.003595196	0.0042606763	-0.0086106286	0.0006747916	-0.0052483064	-0.0053930638
130515_C2_stim_CD19-_3232	0.01	-0.0089459476	0.024055277	0.0082100476	-0.0029042618	-0.0180289151	0.0042897055	-0.0014230378	0.0037587925	0.0023653493
130515_C2_stim_CD19-_10638	0.01	-0.0133425508	0.0004358051	-0.005405414	-0.0028295247	0.01687618	0.0067495676	0.0013237575	0.0038964316	0.0028644791
130515_C2_stim_CD19-_10469	0.01	-0.0134906091	-0.0281512498	0.0525233132	0.0016863777	-0.0050820916	-0.010105899	0.0609377481	0.0235625754	-0.021457079
130515_C2_stim_CD19-_2446	0.01	-0.0132824692	-0.0005352058	-0.0053322384	-0.0028030528	0.0151055371	0.006181743	0.0010212303	0.0033166735	0.0026874648
130515_C2_stim_CD19-_13512	0.01	0.0095879784	-0.0024149544	-0.0008679925	0.0017746515	-0.0014501797	0.0083087946	0.0010741027	-0.000276823	-5.8717e-05
130515_C2_stim_CD19-_6931	0.01	0.0097323271	-0.0034101937	-0.0011558231	-0.0024905799	-0.002488571	0.0103776874	0.0013785444	-0.0009042476	-0.0004988386
130515_C2_stim_CD19-_3198	0.01	-0.0105795211	0.0169344871	0.0038115587	-0.0034349503	-0.0059906712	0.0057814576	-0.00025303	0.0040280173	0.00277113
130515_C2_stim_CD19-_6181	0.01	0.0094513835	-0.0031274313	-0.0010812869	-0.0019588986	-0.0021533629	0.0092686494	0.0012435608	-0.0008996297	-0.0005051343
130515_C2_stim_CD19-_2758	0.01	-0.0123086536	0.0021157455	-0.0046508274	-0.0032753231	0.0174593356	0.0055023274	0.0018130022	0.0021882474	0.0016272597
130515_C2_stim_CD19-_6443	0.01	-0.0174531646	-0.0203814213	-0.0057455609	0.0089021349	-0.018820516	-0.0027845297	-0.0059857465	0.0011210448	-0.0003650381
130515_C2_stim_CD19-_9928	0.01	0.006753671	-0.0036507538	-0.0008024146	-0.0209191079	-0.0006587698	-0.0225029628	-0.0062973025	0.0108573645	0.0060227691
130515_C2_stim_CD19-_7965	0.01	-0.0123065276	0.0017791807	-0.0046251161	-0.003240184	0.016938312	0.0050421489	0.001723705	0.0017981591	0.0013175621
130515_C2_stim_CD19-_14896	0.01	-0.005594664	0.0097510558	0.0015751636	-0.002956521	0.0062894949	-0.0087424591	0.0007345882	-0.0053451833	-0.0055542587
130515_C2_stim_CD19-_2845	0.01	-0.0132968515	0.0001069481	-0.0055029432	-0.0031004623	0.0167814025	0.0068567269	0.001294395	0.0035628692	0.0028896301
130515_C2_stim_CD19-_10628	0.01	-0.0140990744	-0.0032132751	-0.0056444365	-0.0013995195	0.0112399536	0.0055669437	-9.6807e-06	0.0027439356	0.0023889094
130515_C2_stim_CD19-_13258	0.01	0.0097197202	-0.0035640899	-0.0011717974	-0.0033666892	-0.0026191778	0.0101838603	0.0013311388	-0.0008545694	-0.000445449
130515_C2_stim_CD19-_2971	0.01	0.0073063657	0.0035809018	0.0011012718	0.0211169073	0.0048612295	-0.0101441393	-0.0016303762	0.0032014441	0.0021318655
130515_C2_stim_CD19-_8634	0.01	-0.0026641975	0.0155357924	0.0053041168	0.0075715256	-0.0074669912	-0.0044884555	-0.0013958201	0.0009460336	0.0002678504
130515_C2_stim_CD19-_14856	0.01	0.0081934448	0.0006085097	0.0001139365	0.0106985511	0.0017040079	-0.0009862292	-0.0001567737	0.0007222631	0.0005508801
130515_C2_stim_CD19-_2159	0.01	0.0065202054	-0.0011048733	-0.0002782028	-0.0010447931	0.0005995294	0.000799993	0.0013943279	-0.006549869	-0.003859346
130515_C2_stim_CD19-_2018	0.01	0.0083514335	-0.0016168063	-0.000615509	0.0016176485	-0.0002246428	0.0059178911	0.0016722028	-0.0044196399	-0.0026024785
130515_C2_stim_CD19-_3930	0.01	0.0070454942	0.0045774791	0.0014434715	0.02464269	0.005875301	-0.0132981389	-0.002187992	0.0042708039	0.0028104496
130515_C2_stim_CD19-_11161	0.01	0.0091538218	-0.0014297862	-0.0005616629	0.0047634267	-0.0004187288	0.005054821	0.0005664909	0.0004251416	0.0003612679
130515_C2_stim_CD19-_13100	0.01	-0.0178060559	-0.0225805649	-0.0057581312	0.0101337714	-0.0230291426	-0.0041975643	-0.007131986	-0.0002305056	-0.0011669933
130515_C2_stim_CD19-_3586	0.01	0.0096427522	-0.0033921371	-0.0011017264	-0.0027019933	-0.0024373767	0.0097645232	0.0012816129	-0.0007562346	-0.0004024848
130515_C2_stim_CD19-_6530	0.01	0.0096175493	-0.0033344819	-0.0011426446	-0.0022968513	-0.0024251661	0.0101945869	0.0013718727	-0.0009685961	-0.0005487509
130515_C2_stim_CD19-_2595	0.01	0.0094960061	-0.0030722739	-0.0010672889	-0.0014585899	-0.0021353261	0.0095859275	0.0013114461	-0.0009922212	-0.0005415553
130515_C2_stim_CD19-_6699	0.01	-0.0144499283	-0.0045742339	-0.0054691737	-2.24324e-05	0.0083666837	0.0049542228	-0.0003501569	0.0039676969	0.0024978232
130515_C2_stim_CD19-_3146	0.01	0.0096672649	-0.0033177877	-0.0011416675	-0.0021822123	-0.0023924828	0.0102683079	0.0013939635	-0.0010419721	-0.0005771465
130515_C2_stim_CD19-_9192	0.01	0.0094987552	-0.0033702259	-0.0010707538	-0.003285168	-0.0023595254	0.0085669405	0.0010165299	-0.0003202594	-0.0001924804
130515_C2_stim_CD19-_3417	0.01	-0.0090590506	0.0232358625	0.0080499705	-0.0040827076	-0.0180662201	0.0047164587	-0.0011004058	0.0026014037	0.0021141277
130515_C2_stim_CD19-_3326	0.01	0.0060611559	0.005455312	0.0016539341	0.0237586305	0.0057913223	-0.0136020675	-0.0021427181	0.0038225602	0.0023962787
130515_C2_stim_CD19-_15906	0.01	-0.0172022915	-0.0183744738	-0.0060665345	0.0078807697	-0.0151518576	-0.0014228681	-0.0057975509	0.0021751835	0.0001651316
130515_C2_stim_CD19-_3614	0.01	0.0078106412	-0.0018600915	-0.0005899941	-0.0026358333	-0.0009723558	0.0036191199	0.0009505231	-0.0031583135	-0.0019389193
130515_C2_stim_CD19-_2049	0.01	0.0097042036	-0.003316149	-0.0011492297	-0.0019561764	-0.0024164741	0.0106698699	0.0014982644	-0.0012165086	-0.0006861326
130515_C2_stim_CD19-_15392	0.01	-0.0102812874	0.0188733213	0.0048735147	-0.0044839333	-0.0089352628	0.0066403864	-0.0003663333	0.0043596908	0.0034026648
130515_C2_stim_CD19-_314	0.01	0.0097158055	-0.0033658283	-0.0011662603	-0.0022089508	-0.0024598953	0.0106668255	0.0014774117	-0.0011821429	-0.0006587502
130515_C2_stim_CD19-_5125	0.01	0.0096149786	-0.0031174015	-0.0010699576	-0.0015331098	-0.0022090419	0.0096786594	0.0013197882	-0.0009080108	-0.0004749143
130515_C2_stim_CD19-_9425	0.01	-0.0177089103	-0.0239529768	-0.0045697746	0.0105294421	-0.0257579621	-0.0059186322	-0.0065800689	-0.0034830074	-0.00170933
130515_C2_stim_CD19-_1706	0.01	0.00800661	0.0017227897	0.0004835565	0.0150400711	0.0028740642	-0.0044312324	-0.0008194922	0.0022507315	0.0015233427
130515_C2_stim_CD19-_11459	0.01	0.0064383611	-0.0028707398	-0.0007812682	-0.0139283653	-0.0005708994	-0.0129836871	-0.0037528596	0.0065739969	0.0034287219
130515_C2_stim_CD19-_15777	0.01	0.0097177097	-0.0035586947	-0.0011572968	-0.0032848313	-0.0026240689	0.0102504315	0.0013713018	-0.0008982287	-0.0004619398
130515_C2_stim_CD19-_1686	0.01	-0.0130546648	0.0008698215	-0.0052046301	-0.0029194612	0.0170491963	0.0064184696	0.0014635611	0.0034401368	0.0025398487
130515_C2_stim_CD19-_11286	0.01	0.0088808943	-0.0011014165	-0.0004564238	0.0053588024	-5.12567e-05	0.0040211796	0.0004842908	0.000242697	0.000234277
130515_C2_stim_CD19-_14739	0.01	-0.0089241408	0.0248289038	0.008731958	-0.0032053814	-0.0195414532	0.0044192326	-0.0014601735	0.0037565843	0.0023716711
130515_C2_stim_CD19-_13460	0.01	-0.0096210624	0.0203206346	0.0061318024	-0.0029661942	-0.0128226834	0.0048096157	-0.0009587315	0.0038946512	0.0026092165
130515_C2_stim_CD19-_3448	0.01	-0.0087827758	0.0028769958	-0.0020866343	-0.0047325883	0.0126853181	-0.0009298726	0.0018950143	-0.0016687405	-0.00160544
130515_C2_stim_CD19-_10106	0.01	0.0096522527	-0.0033210268	-0.0011318874	-0.0022479358	-0.0023772846	0.0101273492	0.0013628603	-0.0009986254	-0.0005455168
130515_C2_stim_CD19-_5435	0.01	-0.0124063439	0.0065536738	-0.0023306785	-0.0037032254	0.0101903541	0.0075357985	0.0010539231	0.0051786158	0.0039237879
130515_C2_stim_CD19-_5284	0.01	-0.0113636079	0.0028529323	-0.0036520022	-0.0035552888	0.0148152822	0.0035877885	0.0016566533	0.0005405434	0.0003413641
130515_C2_stim_CD19-_5090	0.01	-0.0134281116	-0.0001925467	-0.0053891746	-0.002467283	0.0154051079	0.0065762859	0.0010061617	0.0037374444	0.0028240051
130515_C2_stim_CD19-_5266	0.01	-0.0135210003	-0.0002558956	-0.0055540147	-0.0024020018	0.0160656561	0.0067424294	0.0010756192	0.0040153624	0.0029356164
130515_C2_stim_CD19-_2542	0.01	-0.0097927364	0.0046517389	-0.0007742003	-0.0065209941	0.0085335901	0.0037786565	0.0023935166	0.0071885069	0.0050859351
130515_C2_stim_CD19-_7974	0.01	0.0090781961	-0.0011789529	-0.00048332	0.0056234339	-0.0001505507	0.0043996145	0.0004902186	0.0004954902	0.0004077419
130515_C2_stim_CD19-_8051	0.01	0.0095998177	-0.0031676458	-0.0010796342	-0.0019150154	-0.0022432636	0.0093778732	0.0011985773	-0.0005981822	-0.0003135296
130515_C2_stim_CD19-_3230	0.01	0.0072165901	-0.0023034174	-0.0002465596	-0.0031765223	-0.0005320499	0.0033576462	0.0023002811	-0.0084083833	-0.0041241643
130515_C2_stim_CD19-_8982	0.01	0.0095633332	-0.0032296164	-0.0010904898	-0.0021885626	-0.0022825207	0.0096481025	0.0013039538	-0.0009554418	-0.000532451
130515_C2_stim_CD19-_10883	0.01	0.0097970807	-0.0034018308	-0.0011699548	-0.0021676738	-0.0025223842	0.0109496798	0.0015092247	-0.0011137857	-0.0006117808
130515_C2_stim_CD19-_4184	0.01	0.0075739316	-0.0013846263	-0.0002899642	0.0010867496	0.000335885	0.0037228032	0.0018828685	-0.005660726	-0.0029605434
130515_C2_stim_CD19-_14052	0.01	0.0090846743	-0.0029221889	-0.0009878761	-0.0024874392	-0.0019898378	0.0081465428	0.0011767816	-0.0013284362	-0.0007626264
130515_C2_stim_CD19-_5366	0.01	-0.0111870453	0.0027634896	-0.0039758116	-0.0037966782	0.0167534789	0.0037034637	0.0020401258	-0.0003030878	-0.0001242385
130515_C2_stim_CD19-_11477	0.01	0.0097900739	-0.0034890214	-0.0011883471	-0.0026175427	-0.0025840013	0.0108150764	0.0014436342	-0.0009631196	-0.0005285157
130515_C2_stim_CD19-_11432	0.01	-0.0163857733	-0.019962288	-0.0049630249	0.0080744372	-0.0192320697	-0.0039219065	-0.005515113	5.29461e-05	-0.0012891105
130515_C2_stim_CD19-_8228	0.01	0.0097457875	-0.0031714119	-0.0011087515	-0.0012366241	-0.0022796848	0.0103362156	0.0013837711	-0.0008021482	-0.0004156437
130515_C2_stim_CD19-_12303	0.01	-0.0134642312	0.0020040921	-0.0045801659	-0.0031258595	0.0140655513	0.0078375932	0.0010242725	0.0053637315	0.0041053062
130515_C2_stim_CD19-_5721	0.01	0.0069191965	-0.0031562604	-0.000769024	-0.0154448321	-0.0006069957	-0.0159315854	-0.0045683899	0.0079699775	0.0043202966
130515_C2_stim_CD19-_3685	0.01	0.0065603065	0.0053463455	0.001694921	0.0257936781	0.0061871947	-0.0147835325	-0.0023880242	0.0043554088	0.0028343295
130515_C2_stim_CD19-_8001	0.01	-0.0040536822	0.0049952167	0.0012520755	-0.0058176459	0.0048301911	-0.0118326248	0.0041517029	-0.0331701465	-0.0228872467
130515_C2_stim_CD19-_14303	0.01	0.0095064806	-0.003203057	-0.0010974601	-0.0021760969	-0.0022456254	0.0095105558	0.0012807977	-0.0009679176	-0.0005323715
130515_C2_stim_CD19-_6316	0.01	-0.0093307632	0.0209025494	0.0069460616	-0.0043525388	-0.0154101514	0.004513208	-0.0008056245	0.0019501722	0.0018342053
130515_C2_stim_CD19-_3990	0.01	-0.0080465501	0.0244538504	0.0087717004	-0.0021405665	-0.0191720473	0.0024870499	-0.0015773089	0.0025795388	0.0013542622
130515_C2_stim_CD19-_3944	0.01	0.0072193473	-0.0033355347	-0.0008559628	-0.0157241708	-0.0008667334	-0.0142345011	-0.0042720762	0.0076763238	0.0041903392
130515_C2_stim_CD19-_6670	0.01	-0.0085709886	0.0259975863	0.0094700818	-0.0027661323	-0.0216341617	0.0037097965	-0.0017528029	0.0032866055	0.0019395005
130515_C2_stim_CD19-_6233	0.01	0.0098230806	-0.0033211897	-0.0011477153	-0.0017281993	-0.0024601195	0.0109109894	0.0014793045	-0.0009855232	-0.0005192355
130515_C2_stim_CD19-_6315	0.01	-0.0136597975	-0.0007832839	-0.0055088934	-0.0022761236	0.0149389674	0.006623589	0.0008944286	0.003978239	0.002996376
